id,process_date,avg_price,min_price,max_price
389,20220129,6741600000000000000000,15000000000000000000000,6650000000000000000000
390,20220130,6265667000000000000000,11333000000000000000000,7400000000000000000000
391,20220131,6518091000000000000000,15888000000000000000000,6149000000000000000000
392,20220201,6225412000000000000000,11000000000000000000000,9600000000000000000000
393,20220202,6419500000000000000000,5100000000000000000000,9999000000000000000000
394,20220203,7093600000000000000000,12500000000000000000000,8888000000000000000000
395,20220204,6010300000000000000000,5100000000000000000000,9999000000000000000000
396,20220205,6375500000000000000000,5150000000000000000000,8450000000000000000000
397,20220206,7282462000000000000000,15650000000000000000000,7000000000000000000000
398,20220207,5750333000000000000000,4600000000000000000000,7300000000000000000000
399,20220208,5981273000000000000000,10420000000000000000000,8888000000000000000000
400,20220209,5979312000000000000000,4697000000000000000000,8888000000000000000000
401,20220210,6300000000000000000000,10000000000000000000000,5850000000000000000000
402,20220211,5805400000000000000000,4999000000000000000000,6800000000000000000000
403,20220212,5647714000000000000000,5150000000000000000000,7222000000000000000000
404,20220213,6887000000000000000000,5349000000000000000000,9250000000000000000000
405,20220214,6007000000000000000000,5169000000000000000000,7420000000000000000000
406,20220215,6561500000000000000000,11222000000000000000000,9000000000000000000000
407,20220216,6752455000000000000000,10000000000000000000000,9987000000000000000000
408,20220217,6136000000000000000000,10000000000000000000000,5075000000000000000000
409,20220218,7232714000000000000000,15420000000000000000000,6999000000000000000000
410,20220219,5367727000000000000000,4600000000000000000000,6666000000000000000000
411,20220220,6089800000000000000000,4950000000000000000000,8800000000000000000000
412,20220221,6336750000000000000000,5259000000000000000000,9500000000000000000000
413,20220222,6695545000000000000000,15500000000000000000000,9000000000000000000000
414,20220223,5985000000000000000000,4300000000000000000000,9699000000000000000000
415,20220224,5714375000000000000000,5025000000000000000000,6888000000000000000000
416,20220225,6127000000000000000000,4899000000000000000000,7499000000000000000000
417,20220226,5689000000000000000000,4868000000000000000000,6199000000000000000000
418,20220227,5219333000000000000000,4933000000000000000000,5800000000000000000000
419,20220228,7674500000000000000000,26000000000000000000000,6666000000000000000000
420,20220301,5058333000000000000000,4780000000000000000000,5900000000000000000000
